Date,categoryname,units_sold
12-23-1982,Buckets & Mugs,15
12-24-1982,Perfume,38
12-25-1982,Face Care,6
12-26-1982,Face Care,37
12-27-1982,Dry Fruits & Berries,70
12-28-1982,Lime & Mango Pickle,29
12-29-1982,Face Care,87
12-30-1982,"Toor, Channa & Moong Dal",28
12-31-1982,Face Care,37
01-01-1983,Urad & Other Dals,12
01-02-1983,"Laundry, Storage Baskets",75
01-03-1983,Imported Noodles,132
01-04-1983,Eyes,22
01-05-1983,Water & Fridge Bottles,24
01-06-1983,Green Tea,302
01-07-1983,Kadai & Fry Pans,36
01-08-1983,Powdered Spices,25
01-09-1983,Containers Sets,56
01-10-1983,Cereal & Granola Bars,54
01-11-1983,"Fabric Pre, Post Wash",45
01-12-1983,Powdered Spices,49
1-13-1983,Blended Masalas,46
1-14-1983,Coffee & Pre-Mix,66
1-15-1983,Cup Noodles,34
1-16-1983,Pet Feeding Support,63
1-17-1983,Glassware,41
1-18-1983,"Flavoured, Soya Milk",28
1-19-1983,Toothpaste,34
1-20-1983,International Cheese,121
1-21-1983,Pet Cleaning & Grooming,19
1-22-1983,Lunch Boxes,43
1-23-1983,Mouthwash,37
1-24-1983,Perfume,65
1-25-1983,Coffee & Pre-Mix,61
1-26-1983,Supplements & Proteins,29
1-27-1983,Non Veg Pickle,27
1-28-1983,Hair & Scalp Treatment,37
1-29-1983,Balsamic & Cider Vinegar,34
1-30-1983,Baby Powder,27
1-31-1983,Face Care,96
02-01-1983,Gourmet Tea & Tea Bags,33
02-02-1983,Hair Removal,30
02-03-1983,Frozen Non-Veg Snacks,88
02-04-1983,Organic Dry Fruits,80
02-05-1983,Frozen Fish & Seafood,21
02-06-1983,Hair Oil & Serum,21
02-07-1983,Cut & Peeled Veggies,50
02-08-1983,Green Tea,100
02-09-1983,Imported Cleaners,28
02-10-1983,Sanitary Napkins,39
02-11-1983,Glassware,129
02-12-1983,Organic Masalas & Spices,49
2-13-1983,Namkeen & Savoury Snacks,61
2-14-1983,Dips & Dressings,109
2-15-1983,Bath Salts & Oils,38
2-16-1983,Bathing Accessories,228
2-17-1983,Face Care,170
2-18-1983,Mayonnaise,38
2-19-1983,Bathing Accessories,43
2-20-1983,"Chocolate, Peanut Spread",60
2-21-1983,Eye Care,69
2-22-1983,Tawa & Sauce Pan,79
2-23-1983,Face Masks & Safety Gears,89
2-24-1983,Hand Wash & Sanitizers,107
2-25-1983,Pastas & Spaghetti,40
2-26-1983,Gingelly Oil,29
2-27-1983,Organic Dals & Pulses,73
2-28-1983,Ayurveda,81
03-01-1983,Plates & Bowls,69
03-02-1983,Men's Deodorants,24
03-03-1983,Flours & Pre-Mixes,41
03-04-1983,Thai & Asian Sauces,45
03-05-1983,Supplements & Proteins,16
03-06-1983,Rice & Other Flours,23
03-07-1983,Juices,303
03-08-1983,"Mops, Wipers",300
03-09-1983,"Hummus, Cheese, Salsa Dip",61
03-10-1983,Honey & Maple Syrup,7
03-11-1983,Roasted Seeds & Nuts,90
03-12-1983,Infant Formula,100
3-13-1983,Hand Wash & Sanitizers,202
3-14-1983,Granola & Cereal Bars,91
3-15-1983,Exotic Sugar & Salt,77
3-16-1983,"Cutlery, Spoon & Fork",184
3-17-1983,Men's Deodorants,19
3-18-1983,Cooking Pastes,14
3-19-1983,Glassware,92
3-20-1983,Other Dry Fruits,44
3-21-1983,Shoe Polish,57
3-22-1983,Containers Sets,16
3-23-1983,"Pure, Pomace Olive Oil",42
3-24-1983,"Cups, Mugs & Tumblers",66
3-25-1983,Green Tea,20
3-26-1983,"Papads, Ready To Fry",33
3-27-1983,Face Masks & Safety Gears,26
3-28-1983,Cookies,16
3-29-1983,Buckets & Mugs,14
3-30-1983,Breakfast & Snack Mixes,10
3-31-1983,"Mops, Wipers",34
04-01-1983,Fresh Fish,24
04-02-1983,Face Care,77
04-03-1983,Frozen Veg Snacks,14
04-04-1983,Plates & Bowls,25
04-05-1983,Water & Fridge Bottles,10
04-06-1983,Glassware,27
04-07-1983,Namkeen & Savoury Snacks,148
04-08-1983,Blended Masalas,25
04-09-1983,Flours & Pre-Mixes,34
04-10-1983,Dustbins,26
04-11-1983,Steel Storage Containers,13
04-12-1983,Bathing Bars & Soaps,19
4-13-1983,Flavoured & Other Oils,21
4-14-1983,Face Care,44
4-15-1983,Juices,29
4-16-1983,Soups,21
4-17-1983,Glassware,11
4-18-1983,Organic Vegetables,44
4-19-1983,Baby Wipes,83
4-20-1983,Face & Body,15
4-21-1983,"Baking, Cake Decorations",17
4-22-1983,Frozen Mutton,9
4-23-1983,Face Care,4
4-24-1983,Instant Noodles,23
4-25-1983,Blended Masalas,48
4-26-1983,Syrups & Concentrates,41
4-27-1983,Sugar & Jaggery,113
4-28-1983,Steel Storage Containers,143
4-29-1983,Sanitary Napkins,27
4-30-1983,Face Care,33
05-01-1983,"Baking, Cake Decorations",38
05-02-1983,Green Tea,91
05-03-1983,"Laundry, Storage Baskets",61
05-04-1983,"Notebooks, Files, Folders",44
05-05-1983,Apples & Pomegranate,97
05-06-1983,Shampoo & Conditioner,15
05-07-1983,"Healthy, Baked Snacks",5
05-08-1983,Mosquito Repellent,82
05-09-1983,Ayurveda,61
05-10-1983,Face Care,10
05-11-1983,Chocolates,27
05-12-1983,"Cups, Mugs & Tumblers",48
5-13-1983,"Marshmallow, Candy, Jelly",50
5-14-1983,"Detergent Powder, Liquid",22
5-15-1983,Bathing Bars & Soaps,30
5-16-1983,Men's Deodorants,38
5-17-1983,"Detergent Powder, Liquid",58
5-18-1983,Soups,31
5-19-1983,Dust Cloth & Wipes,68
5-20-1983,Cookies,31
5-21-1983,Blended Masalas,28
5-22-1983,Shaving Care,37
5-23-1983,Honey & Maple Syrup,50
5-24-1983,Kids Cereal,138
5-25-1983,Face Care,139
5-26-1983,Gourmet Tea & Tea Bags,22
5-27-1983,Balsamic & Cider Vinegar,46
5-28-1983,Face Care,38
5-29-1983,Pastas & Spaghetti,128
5-30-1983,Shampoo & Conditioner,62
5-31-1983,"Pure, Pomace Olive Oil",35
06-01-1983,"Jams, Marmalade, Spreads",192
06-02-1983,"Organic Rice, Other Rice",14
06-03-1983,Face Care,46
06-04-1983,CFL & Led Bulbs,65
06-05-1983,Butter & Cream,43
06-06-1983,Toothpaste,20
06-07-1983,Men's Deodorants,80
06-08-1983,Baby Bath,16
06-09-1983,"Healthy, Baked Snacks",41
06-10-1983,Whole Spices,19
06-11-1983,Kitchen Rolls,50
06-12-1983,Breakfast & Snack Mixes,22
6-13-1983,Men's Deodorants,47
6-14-1983,Boiled & Steam Rice,19
6-15-1983,Aromatherapy,30
6-16-1983,Eau De Toilette,13
6-17-1983,Kids Cereal,16
6-18-1983,Chips & Corn Snacks,89
6-19-1983,Air Freshener,31
6-20-1983,"Healthy, Baked Snacks",45
6-21-1983,Disinfectant Spray & Cleaners,55
6-22-1983,Boiled & Steam Rice,7
6-23-1983,Blended Masalas,27
6-24-1983,Ayurveda,72
6-25-1983,Extra Virgin Olive Oil,31
6-26-1983,Powdered Spices,34
6-27-1983,Face Care,36
6-28-1983,"Healthy, Baked Snacks",22
6-29-1983,Toothpaste,22
6-30-1983,Buckets & Mugs,27
07-01-1983,Breakfast & Snack Mixes,59
07-02-1983,Muesli & Rice Cakes,8
07-03-1983,Organic Masalas & Spices,18
07-04-1983,Herbs & Seasoning,18
07-05-1983,Steel Storage Containers,22
07-06-1983,"Laundry, Storage Baskets",29
07-07-1983,Tawa & Sauce Pan,17
07-08-1983,Face Care,28
07-09-1983,Canned Seafood,22
07-10-1983,Intimate Wash & Care,30
07-11-1983,Body Care,27
07-12-1983,Cookies,33
7-13-1983,Lunch Boxes,37
7-14-1983,Air Freshener,53
7-15-1983,Salad Dressings,42
7-16-1983,Copper Utensils,4
7-17-1983,Vinegar,52
7-18-1983,Toothbrush,143
7-19-1983,Face Care,181
7-20-1983,Dinner Sets,159
7-21-1983,"Olive, Jalapeno, Gherkin",68
7-22-1983,Ayurveda,11
7-23-1983,Bathing Accessories,19
7-24-1983,Shampoo & Conditioner,83
7-25-1983,Pressure Cookers,99
7-26-1983,Chips & Corn Snacks,148
7-27-1983,Organic Baby Food,34
7-28-1983,Choppers & Graters,76
7-29-1983,Infant Formula,168
7-30-1983,Organic Baby Food,162
7-31-1983,Shaving Care,307
08-01-1983,Organic Vegetables,44
08-02-1983,Cheese,22
08-03-1983,"Toffee, Candy & Lollypop",92
08-04-1983,Containers Sets,107
08-05-1983,Herbs & Seasoning,55
08-06-1983,Thai & Asian Sauces,54
08-07-1983,Shower Gel & Body Wash,79
08-08-1983,"Baking, Cake Decorations",19
08-09-1983,"Herbs, Seasonings & Rubs",31
08-10-1983,Tools & Accessories,29
08-11-1983,"Scissor, Glue & Tape",48
08-12-1983,Glassware,67
8-13-1983,Pet Collars & Leashes,13
8-14-1983,Face Care,30
8-15-1983,Chutney Powder,41
8-16-1983,Honey & Maple Syrup,91
8-17-1983,Air Freshener,136
8-18-1983,Organic Masalas & Spices,42
8-19-1983,Muffins & Cup Cakes,41
8-20-1983,Frozen Veg Snacks,135
8-21-1983,Face Care,53
8-22-1983,Plates & Bowls,36
8-23-1983,"Bakery Biscuits, Cookies",83
8-24-1983,Dust Cloth & Wipes,85
8-25-1983,Glassware,38
8-26-1983,Face Care,89
8-27-1983,Gardening Tools,135
8-28-1983,Indian & Exotic Herbs,29
8-29-1983,Face Care,24
8-30-1983,Frozen Non-Veg Snacks,36
8-31-1983,Racks & Holders,53
09-01-1983,Organic Masalas & Spices,51
09-02-1983,Kitchen Tools & Other Accessories,48
09-03-1983,Muesli & Rice Cakes,109
09-04-1983,"Curry Paste, Coconut Milk",77
09-05-1983,Copper Utensils,77
09-06-1983,"Chocolate, Peanut Spread",36
09-07-1983,Dust Cloth & Wipes,4
09-08-1983,Cooking Pastes,239
09-09-1983,Sugar & Jaggery,268
09-10-1983,Namkeen & Savoury Snacks,74
09-11-1983,Face & Body,77
09-12-1983,Mukhwas,101
9-13-1983,Disinfectant Spray & Cleaners,154
9-14-1983,Face Care,81
9-15-1983,Face Care,108
9-16-1983,Supplements & Proteins,100
9-17-1983,Face & Body,282
9-18-1983,Cream Biscuits & Wafers,36
9-19-1983,Organic Masalas & Spices,65
9-20-1983,Chicken Sausages,133
9-21-1983,Men's Deodorants,114
9-22-1983,Women's Deodorants,39
9-23-1983,Women's Deodorants,102
9-24-1983,Namkeen & Savoury Snacks,13
9-25-1983,Frozen Veg Snacks,113
9-26-1983,Face Care,126
9-27-1983,Steel Lunch Boxes,62
9-28-1983,Seasonal Accessories,18
9-29-1983,"Cutlery, Spoon & Fork",24
9-30-1983,Basmati Rice,23
10-01-1983,Hair Styling,12
10-02-1983,Eau De Toilette,16
10-03-1983,Chicken Sausages,15
10-04-1983,Women's Deodorants,98
10-05-1983,Face Care,34
10-06-1983,Wall Hooks & Hangers,49
10-07-1983,Pooja Thali & Bells,68
10-08-1983,"Chocolate, Peanut Spread",45
10-09-1983,Organic Masalas & Spices,48
10-10-1983,Organic Masalas & Spices,61
10-11-1983,Herbs & Seasoning,129
10-12-1983,"Baking, Cake Decorations",21
10-13-1983,Cereals & Millets,30
10-14-1983,Face Care,11
10-15-1983,Powdered Spices,11
10-16-1983,Eau De Toilette,32
10-17-1983,"Herbs, Seasonings & Rubs",19
10-18-1983,Face Care,36
10-19-1983,Bath & Shower,19
10-20-1983,Choppers & Graters,48
10-21-1983,Frozen Non-Veg Snacks,4
10-22-1983,Cold Drinks,35
10-23-1983,Eau De Parfum,12
10-24-1983,Ice Creams,14
10-25-1983,Bathing Accessories,57
10-26-1983,"Agarbatti, Incense Sticks",157
10-27-1983,Ayurveda,42
10-28-1983,Face Care,61
10-29-1983,"Toor, Channa & Moong Dal",79
10-30-1983,Adult Diapers,23
10-31-1983,Face Care,37
11-01-1983,Organic Masalas & Spices,22
11-02-1983,Knives & Peelers,33
11-03-1983,Baby Gift Sets,34
11-04-1983,Cream Biscuits & Wafers,21
11-05-1983,Water & Fridge Bottles,27
11-06-1983,"Cooking Chocolate, Cocoa",12
11-07-1983,Butter & Cream,15
11-08-1983,Exotic Vegetables,63
11-09-1983,Organic Flours,82
11-10-1983,Blended Masalas,112
11-11-1983,Disinfectant Spray & Cleaners,46
11-12-1983,Jasmine & Sushi Rice,22
11-13-1983,Air Freshener,51
11-14-1983,Health Drinks,56
11-15-1983,Hair Care & Styling,27
11-16-1983,Organic Masalas & Spices,46
11-17-1983,Air Freshener,44
11-18-1983,"Buns, Pavs & Pizza Base",72
11-19-1983,Containers Sets,38
11-20-1983,International Chocolates,48
11-21-1983,Frozen Veg Snacks,28
11-22-1983,Supplements & Proteins,15
11-23-1983,Gas Stove,17
11-24-1983,Ayurveda,41
11-25-1983,Lamp & Lamp Oil,80
11-26-1983,Dry Fruits & Berries,24
11-27-1983,"Poha, Sabudana & Murmura",37
11-28-1983,Shower Gel & Body Wash,142
11-29-1983,Home Baking,133
11-30-1983,Ayurveda,47
12-01-1983,Men & Women,39
12-02-1983,Shaving Care,37
12-03-1983,"Detergent Powder, Liquid",137
12-04-1983,Baby Oil & Shampoo,73
12-05-1983,Frozen Non-Veg Snacks,51
12-06-1983,Buckets & Mugs,59
12-07-1983,Chips & Corn Snacks,212
12-08-1983,"Pure, Pomace Olive Oil",17
12-09-1983,"Marie, Health, Digestive",9
12-10-1983,Face Care,30
12-11-1983,Boiled & Steam Rice,30
12-12-1983,Crackers & Digestive,28
12-13-1983,Bathing Bars & Soaps,54
12-14-1983,Glassware,113
12-15-1983,Aromatherapy,70
12-16-1983,Floor & Other Cleaners,19
12-17-1983,"Cookies, Biscotti, Wafer",41
12-18-1983,Plates & Bowls,57
12-19-1983,"Bakery Biscuits, Cookies",127
12-20-1983,"Detergent Powder, Liquid",66
12-21-1983,Blended Masalas,83
12-22-1983,Powdered Spices,138
12-23-1983,Raw Rice,48
12-24-1983,Cookies,52
12-25-1983,Men's Deodorants,67
12-26-1983,"Jams, Marmalade, Spreads",13
12-27-1983,Diapers,99
12-28-1983,Pressure Cookers,131
12-29-1983,Dishwash Bars & Powders,17
12-30-1983,Ayurveda,33
12-31-1983,Dry Fruits & Berries,59
01-01-1984,"Cups, Mugs & Tumblers",43
01-02-1984,Gourmet Juices & Drinks,116
01-03-1984,Pastas & Spaghetti,51
01-04-1984,"Cups, Mugs & Tumblers",75
01-05-1984,Hand Wash & Sanitizers,33
01-06-1984,"Herbs, Seasonings & Rubs",190
01-07-1984,Men's Deodorants,179
01-08-1984,Air Freshener,72
01-09-1984,Eau De Toilette,73
01-10-1984,Gourmet Tea & Tea Bags,69
01-11-1984,Organic Masalas & Spices,26
01-12-1984,Pet Meals & Treats,26
1-13-1984,Pasta & Macaroni,31
1-14-1984,Kitchen Tools & Other Accessories,10
1-15-1984,"Flavoured, Soya Milk",60
1-16-1984,Cream Biscuits & Wafers,28
1-17-1984,Hair Color,40
1-18-1984,Shampoo & Conditioner,33
1-19-1984,Blended Masalas,22
1-20-1984,Nachos & Chips,39
1-21-1984,Shampoo & Conditioner,35
1-22-1984,Buckets & Mugs,61
1-23-1984,Butter & Cream,20
1-24-1984,Men's Deodorants,12
1-25-1984,Lunch Boxes,23
1-26-1984,Umbrella,12
1-27-1984,Ayurveda,146
1-28-1984,Cookies,181
1-29-1984,Men's Deodorants,45
1-30-1984,Mukhwas,61
1-31-1984,Mosquito Repellent,50
02-01-1984,"Detergent Powder, Liquid",168
02-02-1984,"Cookies, Biscotti, Wafer",72
02-03-1984,"Marie, Health, Digestive",82
02-04-1984,Dry Fruits & Berries,214
02-05-1984,Mukhwas,17
02-06-1984,Face Care,6
02-07-1984,Hand Wash & Sanitizers,58
02-08-1984,Water & Fridge Bottles,80
02-09-1984,Face Care,50
02-10-1984,Glassware,26
02-11-1984,Breakfast & Snack Mixes,60
02-12-1984,"Flavoured, Soya Milk",6
2-13-1984,Face Care,14
2-14-1984,Blended Masalas,36
2-15-1984,Shower Gel & Body Wash,19
2-16-1984,Flours & Pre-Mixes,15
2-17-1984,Shampoo & Conditioner,25
2-18-1984,Gourmet Tea & Tea Bags,40
2-19-1984,Powdered Spices,90
2-20-1984,Women's Deodorants,39
2-21-1984,"Cookies, Biscotti, Wafer",45
2-22-1984,Shaving Care,40
2-23-1984,"Cookies, Biscotti, Wafer",29
2-24-1984,Copper Utensils,17
2-25-1984,Disinfectant Spray & Cleaners,52
2-26-1984,Eau De Toilette,69
2-27-1984,Glassware,22
2-28-1984,Chocolates,7
2-29-1984,Shower Gel & Body Wash,4
03-01-1984,Fertilizers & Pesticides,34
03-02-1984,Ground Coffee,14
03-03-1984,"Jams, Marmalade, Spreads",17
03-04-1984,Herbs & Seasoning,28
03-05-1984,"Scissor, Glue & Tape",51
03-06-1984,Organic Flours,10
03-07-1984,Buckets & Mugs,34
03-08-1984,Bathing Bars & Soaps,25
03-09-1984,Cut & Peeled Veggies,89
03-10-1984,Cereals & Millets,112
03-11-1984,Hand Wash & Sanitizers,118
03-12-1984,Shaving Care,36
3-13-1984,Brooms & Dust Pans,80
3-14-1984,Hair Oil & Serum,80
3-15-1984,Tools & Accessories,149
3-16-1984,Aromatherapy,41
3-17-1984,Electronic Accessories,96
3-18-1984,Organic Masalas & Spices,35
3-19-1984,"Notebooks, Files, Folders",129
3-20-1984,Frozen Veg Snacks,39
3-21-1984,Other Plastic Ware,5
3-22-1984,Powdered Spices,53
3-23-1984,Face Masks & Safety Gears,91
3-24-1984,Face Care,100
3-25-1984,Cookies,21
3-26-1984,"Poha, Sabudana & Murmura",55
3-27-1984,Men's Deodorants,17
3-28-1984,Pressure Cookers,180
3-29-1984,Camphor & Wicks,160
3-30-1984,Extra Virgin Olive Oil,48
3-31-1984,Women's Deodorants,17
04-01-1984,Bathing Bars & Soaps,34
04-02-1984,Exotic Fruits,36
04-03-1984,Shampoo & Conditioner,47
04-04-1984,Tawa & Sauce Pan,23
04-05-1984,Men & Women,47
04-06-1984,Baby Oral Care,26
04-07-1984,Buckets & Mugs,59
04-08-1984,"Marshmallow, Candy, Jelly",40
04-09-1984,Nachos & Chips,87
04-10-1984,Face Care,23
04-11-1984,Frozen Indian Breads,40
04-12-1984,"Bakery Biscuits, Cookies",30
4-13-1984,Organic Masalas & Spices,30
4-14-1984,Glassware,49
4-15-1984,Green Tea,12
4-16-1984,Face Care,22
4-17-1984,Raw Rice,28
4-18-1984,Dustbins,17
4-19-1984,Dishwash Liquids & Pastes,8
4-20-1984,Everyday Medicine,45
4-21-1984,Cookies,56
4-22-1984,Basmati Rice,59
4-23-1984,Powdered Spices,28
4-24-1984,Battery & Electrical,36
4-25-1984,Breakfast & Snack Mixes,7
4-26-1984,Bath & Shower,11
4-27-1984,Imported Noodles,47
4-28-1984,Casserole,29
4-29-1984,Body Care,35
4-30-1984,Shaving Care,21
05-01-1984,Vermicelli,24
05-02-1984,Men & Women,21
05-03-1984,Gift Sets,44
05-04-1984,Organic Vegetables,55
05-05-1984,Other Plastic Ware,24
05-06-1984,Sanitary Napkins,12
05-07-1984,Face Care,3
05-08-1984,Shampoo & Conditioner,11
05-09-1984,Coffee & Pre-Mix,10
05-10-1984,Breakfast & Snack Mixes,204
05-11-1984,Blended Masalas,303
05-12-1984,Breakfast & Snack Mixes,51
5-13-1984,Toothpaste,120
5-14-1984,Honey & Maple Syrup,59
5-15-1984,"Curry Paste, Coconut Milk",87
5-16-1984,Cheese,234
5-17-1984,Perfume,142
5-18-1984,Men's Deodorants,121
5-19-1984,Namkeen & Savoury Snacks,153
5-20-1984,International Cheese,60
5-21-1984,Shaving Care,22
5-22-1984,Copper Utensils,116
5-23-1984,Toothpaste,70
5-24-1984,Cookies,85
5-25-1984,Face & Body,20
5-26-1984,Steel Lunch Boxes,31
5-27-1984,Thai & Asian Sauces,76
5-28-1984,Face Care,22
5-29-1984,"Curry Paste, Coconut Milk",49
5-30-1984,Shower Gel & Body Wash,9
5-31-1984,Mangoes,103
06-01-1984,Crackers & Digestive,84
06-02-1984,Granola & Cereal Bars,8
06-03-1984,Combos & Gift Sets,29
06-04-1984,Baby Creams & Lotions,94
06-05-1984,"Healthy, Baked Snacks",62
06-06-1984,Namkeen & Savoury Snacks,43
06-07-1984,Hand Wash & Sanitizers,22
06-08-1984,Namkeen & Savoury Snacks,99
06-09-1984,"Pots, Planters & Trays",27
06-10-1984,Bakeware Accessories,15
06-11-1984,Balsamic & Cider Vinegar,33
06-12-1984,"Olive, Jalapeno, Gherkin",37
6-13-1984,Other Veg Pickle,39
6-14-1984,Face Care,42
6-15-1984,"Herbs, Seasonings & Rubs",93
6-16-1984,"Strainer, Ladle, Spatula",100
6-17-1984,Bread Sticks & Lavash,43
6-18-1984,"Organic Sugar, Jaggery",125
6-19-1984,Glassware,49
6-20-1984,Cereals & Millets,73
6-21-1984,Floor & Other Cleaners,198
6-22-1984,Shower Gel & Body Wash,75
6-23-1984,Dishwash Liquids & Pastes,56
6-24-1984,Toilet Cleaners,101
6-25-1984,Cut & Peeled Veggies,36
6-26-1984,Farm Eggs,8
6-27-1984,"Kitchen, Glass & Drain",89
6-28-1984,"Baking, Cake Decorations",74
6-29-1984,Men's Deodorants,26
6-30-1984,Canned Seafood,42
07-01-1984,Gourmet Tea & Tea Bags,70
07-02-1984,"Cookies, Biscotti, Wafer",17
07-03-1984,Shampoo & Conditioner,71
07-04-1984,Instant Coffee,35
07-05-1984,Crackers & Digestive,30
07-06-1984,Namkeen & Savoury Snacks,24
07-07-1984,Men's Deodorants,22
07-08-1984,"Healthy, Baked Snacks",20
07-09-1984,"Marshmallow, Candy, Jelly",30
07-10-1984,Flours & Pre-Mixes,39
07-11-1984,"Cups, Mugs & Tumblers",13
07-12-1984,Wall Hooks & Hangers,52
7-13-1984,Roasted Seeds & Nuts,21
7-14-1984,Ayurveda,10
7-15-1984,Dinner Sets,16
7-16-1984,Cook And Serve,41
7-17-1984,Organic Masalas & Spices,25
7-18-1984,Farm Eggs,19
7-19-1984,Body Care,20
7-20-1984,"Organic Rice, Other Rice",39
7-21-1984,Imported Noodles,99
7-22-1984,Roasted Seeds & Nuts,103
7-23-1984,Men's Deodorants,12
7-24-1984,Diapers,17
7-25-1984,Body Care,23
7-26-1984,Diapers,7
7-27-1984,Eau De Parfum,35
7-28-1984,Pet Meals & Treats,6
7-29-1984,Face Care,39
7-30-1984,Ayurveda,9
7-31-1984,Shampoo & Conditioner,40
08-01-1984,Shower Gel & Body Wash,23
08-02-1984,"Cut Fruit, Tender Coconut",34
08-03-1984,Containers Sets,48
08-04-1984,Thai & Asian Sauces,54
08-05-1984,"Herbs, Seasonings & Rubs",16
08-06-1984,Blended Masalas,39
08-07-1984,Face Masks & Safety Gears,78
08-08-1984,Coffee & Pre-Mix,14
08-09-1984,Crackers & Digestive,147
08-10-1984,Dips & Dressings,62
08-11-1984,Frozen Veg Snacks,123
08-12-1984,Breakfast & Snack Mixes,74
8-13-1984,"Sunflower, Rice Bran Oil",82
8-14-1984,Exotic & Flavoured Tea,89
8-15-1984,Bathing Bars & Soaps,67
8-16-1984,Pet Meals & Treats,34
8-17-1984,Honey & Maple Syrup,14
8-18-1984,Blended Masalas,32
8-19-1984,Intimate Wash & Care,40
8-20-1984,"Herbs, Seasonings & Rubs",42
8-21-1984,Flours & Pre-Mixes,23
8-22-1984,Face Care,34
8-23-1984,"Papads, Ready To Fry",18
8-24-1984,"Curry Paste, Coconut Milk",27
8-25-1984,Roasted Seeds & Nuts,13
8-26-1984,Dry Fruits & Berries,47
8-27-1984,Curd,22
8-28-1984,Mustard & Cheese Sauces,31
8-29-1984,Dinner Sets,21
8-30-1984,Face Care,6
8-31-1984,Pet Meals & Treats,15
09-01-1984,Hand Wash & Sanitizers,7
09-02-1984,Hair Oil & Serum,34
09-03-1984,Frozen Fish & Seafood,19
09-04-1984,Ayurveda,27
09-05-1984,Tea Cakes & Slice Cakes,30
09-06-1984,Organic Vegetables,12
09-07-1984,Fertilizers & Pesticides,21
09-08-1984,Glassware,5
09-09-1984,Breakfast & Snack Mixes,29
09-10-1984,Baby Bath,3
09-11-1984,Spring Water,28
09-12-1984,Whole Spices,7
9-13-1984,Namkeen & Savoury Snacks,62
9-14-1984,Shampoo & Conditioner,71
9-15-1984,Hand Wash & Sanitizers,27
9-16-1984,"Cups, Mugs & Tumblers",35
9-17-1984,Ayurveda,31
9-18-1984,Face Care,80
9-19-1984,Crackers & Digestive,54
9-20-1984,CFL & Led Bulbs,25
9-21-1984,Cereal & Granola Bars,114
9-22-1984,Tools & Accessories,21
9-23-1984,Baby Health,77
9-24-1984,Organic Vegetables,52
9-25-1984,Pet Meals & Treats,56
9-26-1984,"Strainer, Ladle, Spatula",22
9-27-1984,Canned Seafood,39
9-28-1984,"Notebooks, Files, Folders",29
9-29-1984,Supplements & Proteins,17
9-30-1984,Bakeware Accessories,31
10-01-1984,Ayurveda,41
10-02-1984,Hair Care & Styling,11
10-03-1984,Raw Rice,35
10-04-1984,Exotic Sugar & Salt,27
10-05-1984,Blended Masalas,43
10-06-1984,Kadai & Fry Pans,28
10-07-1984,"Healthy, Baked Snacks",29
10-08-1984,Aromatherapy,86
10-09-1984,Toilet Paper,33
10-10-1984,Toothbrush,37
10-11-1984,Powdered Spices,59
10-12-1984,Whole Spices,26
10-13-1984,Men's Deodorants,29
10-14-1984,Chocolates,62
10-15-1984,Lunch Boxes,144
10-16-1984,Containers Sets,27
10-17-1984,Salts,35
10-18-1984,Glassware,69
10-19-1984,Dust Cloth & Wipes,24
10-20-1984,Dry Fruits & Berries,93
10-21-1984,Pressure Cookers,36
10-22-1984,Roasted Seeds & Nuts,40
10-23-1984,Blended Masalas,50
10-24-1984,Sugarfree Sweeteners,36
10-25-1984,Men's Deodorants,18
10-26-1984,"Strainer, Ladle, Spatula",13
10-27-1984,Namkeen & Savoury Snacks,15
10-28-1984,Bathing Bars & Soaps,196
10-29-1984,Other Veg Pickle,187
10-30-1984,Face Care,86
10-31-1984,Toothpaste,53
11-01-1984,Glassware,57
11-02-1984,"Pure, Pomace Olive Oil",58
11-03-1984,Ayurveda,14
11-04-1984,Choco & Nut Spread,25
11-05-1984,Face Care,33
11-06-1984,Bathing Bars & Soaps,94
11-07-1984,Herbs & Seasoning,36
11-08-1984,Gourmet Ice Cream,91
11-09-1984,Roasted Seeds & Nuts,45
11-10-1984,Hair Care & Styling,21
11-11-1984,Juices,31
11-12-1984,Chutney Powder,70
11-13-1984,Shampoo & Conditioner,57
11-14-1984,Battery & Electrical,35
11-15-1984,Cheese,35
11-16-1984,Cream Biscuits & Wafers,51
11-17-1984,Dry Fruits & Berries,9
11-18-1984,Containers Sets,36
11-19-1984,Disinfectant Spray & Cleaners,38
11-20-1984,Diapers,28
11-21-1984,Exotic Sugar & Salt,23
11-22-1984,Pressure Cookers,81
11-23-1984,Balsamic & Cider Vinegar,28
11-24-1984,Toothpaste,31
11-25-1984,Roasted Seeds & Nuts,45
11-26-1984,Yogurt & Shrikhand,9
11-27-1984,"Laundry, Storage Baskets",25
11-28-1984,Face Care,86
11-29-1984,Imported Oats & Porridge,90
11-30-1984,Chocolates,30
12-01-1984,Heat & Eat Ready Meals,32
12-02-1984,Face Care,44
12-03-1984,Cheese,121
12-04-1984,Rice & Other Flours,65
12-05-1984,Cook And Serve,44
12-06-1984,Cashews,128
12-07-1984,Cookies,31
12-08-1984,Lunch Boxes,16
12-09-1984,Blended Masalas,47
12-10-1984,Gourmet Juices & Drinks,62
12-11-1984,Bath & Shower,61
12-12-1984,Gourmet Tea & Tea Bags,7
12-13-1984,Face Care,39
12-14-1984,Hair & Scalp Treatment,59
12-15-1984,Tea Cakes & Slice Cakes,14
12-16-1984,Cut & Peeled Veggies,91
12-17-1984,Fresh Salads & Sprouts,67
